,Model,Language Model,Features,PCA_Components,Average Accuracy,Average F1 Score,Average Precision,Average Recall,diff
76,Light GBM,albert,NLP,128,0.866773629931375,0.866530729913575,0.870409453272076,0.866612859180009,
77,Light GBM,albert,NLP,256,0.870058051926906,0.869792052900417,0.873109316787511,0.869917916689534,0.015953717390173
78,Light GBM,albert,NLP,512,0.869154894134011,0.868864407832272,0.872202227034034,0.869013454640835,
79,Light GBM,albert,NLP,768,0.869893755610683,0.869617735246417,0.872891955232758,0.86974837415147,
80,Light GBM,albert-large,NLP,2,0.52750761940495,0.51920178856868,0.519198690336458,0.527591970547815,
81,Light GBM,albert-large,NLP,4,0.633863329062219,0.62803767687858,0.634233710897522,0.633306134053149,
82,Light GBM,albert-large,NLP,8,0.744549913212441,0.743499128984669,0.749850028797063,0.744487616890314,
83,Light GBM,albert-large,NLP,16,0.812148564322408,0.811804935935803,0.816874300833549,0.812138472986595,
84,Light GBM,albert-large,NLP,32,0.841975913713378,0.841496149593792,0.84628418936967,0.841843051112858,
85,Light GBM,albert-large,NLP,64,0.852465742595752,0.85206112694661,0.856206326617858,0.852338448279404,
86,Light GBM,albert-large,NLP,128,0.857926186919738,0.857627542656594,0.861406740679026,0.857785236377437,
87,Light GBM,albert-large,NLP,256,0.860327921794448,0.860098744774141,0.863710326834363,0.860207937135722,0.019323962899291
88,Light GBM,albert-large,NLP,512,0.861066981320027,0.860820112493083,0.864329301578179,0.860933354314797,
89,Light GBM,albert-large,NLP,768,0.859958349893593,0.85974821746504,0.863353602440657,0.859837791220555,
